name,note,N,K,M,tile,block_N,block_K,block_M,row_unroll,c_traffic_mode,macs,ops,a_bytes,b_bytes,c_bytes,external_bytes,ddr_bytes_per_cycle,external_ctc_ops_per_byte,external_ctc_mac_per_byte,compute_roof_mac_per_cycle,compute_roof_ops_per_cycle,mem_roof_mac_per_cycle,mem_roof_ops_per_cycle,attainable_mac_per_cycle,attainable_ops_per_cycle,actual_mac_per_cycle,actual_ops_per_cycle,compute_peak_util,attainable_roof_util,external_mem_cycles_min,compute_cycles_min,roof_cycles_min,latency_over_roof_lower_bound,bound_classification,ext_load_a_cycles_est,ext_load_b_cycles_est,ext_store_c_cycles_est,ext_load_compute_overlap,store_compute_overlap,n_block_count,m_block_count,k_block_count,compute_block_calls,full_output_tile_count,tail_output_tile_count,local_a_load_cycles_per_tile,local_b_load_cycles_per_tile,local_c_load_cycles_per_tile,local_c_store_cycles_per_tile,compute_cycles_per_k_tile,internal_model_cycles,internal_compute_only_cycles,modeled_mac_active_ratio,total_model_cycles,local_model_gap,total_model_gap,latency_cycles,actual_gmac_s_at_freq,actual_gops_at_freq,gops_per_dsp,gops_per_bram18k,gops_per_klut,bram18k,dsp,ff,lut,estimated_clock_ns
O0,serial block load baseline,128,128,128,14,112,112,112,1,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,5.495191728200318,10.990383456400636,0.028036692490817947,0.042931185376564984,16384.0,10699.755102040815,16384.0,23.2930908203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,14,14,14,14,14,47600.0,14000.0,0.29411764705882354,63984.0,8.017521008403362,5.964522380595149,381634,0.5495191728200318,1.0990383456400636,0.00560733849816359,0.019625684743572566,0.022335453921067828,56,196,33470,49206,7.218
O1,combined external A/B block load,128,128,128,14,112,112,112,1,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,5.495191728200318,10.990383456400636,0.028036692490817947,0.042931185376564984,16384.0,10699.755102040815,16384.0,23.2930908203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,14,14,14,14,14,47600.0,14000.0,0.29411764705882354,63984.0,8.017521008403362,5.964522380595149,381634,0.5495191728200318,1.0990383456400636,0.00560733849816359,0.019625684743572566,0.022418830867961235,56,196,33282,49023,7.165
O2,O1 plus row banking/unroll=2,128,128,128,14,112,112,112,2,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,6.613076355472026,13.226152710944053,0.03374018548710218,0.051664659027125207,16384.0,10699.755102040815,16384.0,19.3555908203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,7,7,7,7,14,30800.0,14000.0,0.45454545454545453,47184.0,10.296168831168831,6.720964733808071,317122,0.6613076355472026,1.3226152710944052,0.006748037097420435,0.015745419893981014,0.019580956253433292,84,196,34317,67546,7.143
O4,local A/B helper,128,128,128,14,112,112,112,1,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,2.906244716616639,5.812489433233278,0.014827779166411424,0.022705036848567492,16384.0,10699.755102040815,16384.0,44.0430908203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,98,0.0,14,14,14,117600.0,14000.0,0.11904761904761904,133984.0,6.136071428571428,5.38573262479102,721602,0.2906244716616639,0.5812489433233278,0.0029655558332822847,0.010379445416487996,0.006959898260451275,56,196,40296,83514,7.165
O5,helper with formal buffer partition pragmas,128,128,128,14,112,112,112,1,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,2.906244716616639,5.812489433233278,0.014827779166411424,0.022705036848567492,16384.0,10699.755102040815,16384.0,44.0430908203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,98,0.0,14,14,14,117600.0,14000.0,0.11904761904761904,133984.0,6.136071428571428,5.38573262479102,721602,0.2906244716616639,0.5812489433233278,0.0029655558332822847,0.010379445416487996,0.006959898260451275,56,196,40296,83514,7.165
O4inline,local A/B helper forced inline,128,128,128,14,112,112,112,1,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,0.7018050174250542,1.4036100348501084,0.0035806378440053784,0.005482851698633236,16384.0,10699.755102040815,16384.0,182.3868408203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,98,0.0,14,14,14,117600.0,14000.0,0.11904761904761904,133984.0,25.410085034013605,22.302857057559113,2988226,0.07018050174250541,0.14036100348501082,0.0007161275688010756,0.0025064464908037647,0.005081309180212533,56,196,43062,27623,7.165
O6a,O1 plus full-block fast path row_unroll=1,128,128,128,14,112,112,112,1,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,5.495191728200318,10.990383456400636,0.028036692490817947,0.042931185376564984,16384.0,10699.755102040815,16384.0,23.2930908203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,14,14,14,14,14,47600.0,14000.0,0.29411764705882354,63984.0,8.017521008403362,5.964522380595149,381634,0.5495191728200318,1.0990383456400636,0.002803669249081795,0.019625684743572566,0.01590527135906545,56,392,62788,69099,7.218
O6b,O2 plus full-block fast path row_unroll=2,128,128,128,14,112,112,112,2,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,6.611742006267616,13.223484012535232,0.03373337758299804,0.05165423442396575,16384.0,10699.755102040815,16384.0,19.3594970703125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,7,7,7,7,14,30800.0,14000.0,0.45454545454545453,47184.0,10.298246753246753,6.722321125805358,317186,0.6611742006267616,1.3223484012535232,0.003373337758299804,0.015742242872065753,0.009821582486638317,84,392,64184,134637,7.143
O1_224_generic,O1 runtime-generic NKM at 224,224,224,224,14,112,112,112,1,write_only,11239424,22478848,100352,100352,200704,401408,8.0,56.0,28.0,196,392,224.0,448.0,196,392,29.43189858567766,58.86379717135532,0.1501627478861105,0.1501627478861105,50176.0,57344.0,57344.0,6.659441266741071,internal/scheduler-bound,12544.0,12544.0,25088.0,0,0,2,2,2,8,512,0,14,14,14,14,14,186368.0,57344.0,0.3076923076923077,236544.0,2.0490588513049453,1.6144100040584415,381879,2.9431898585677665,5.886379717135533,0.029579797573545393,0.10511392352027737,0.11476885330452012,56,199,35271,51289,7.653
O6c_fullonly_224,O6 compile-time full-only at 224,224,224,224,14,112,112,112,1,write_only,11239424,22478848,100352,100352,200704,401408,8.0,56.0,28.0,196,392,224.0,448.0,196,392,29.450793168323578,58.901586336647156,0.15025914881797744,0.15025914881797744,50176.0,57344.0,57344.0,6.655168805803571,internal/scheduler-bound,12544.0,12544.0,25088.0,0,0,2,2,2,8,512,0,14,14,14,14,14,186368.0,57344.0,0.3076923076923077,236544.0,2.0477442479395602,1.613374255952381,381634,2.945079316832358,5.890158633664716,0.030051829763595488,0.10518140417258422,0.30145650410280544,56,196,29822,19539,7.263
O7a,O1 plus row banking/unroll=4,128,128,128,14,112,112,112,4,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,6.336840451312299,12.673680902624598,0.03233081862914439,0.04950656602587734,16384.0,10699.755102040815,16384.0,20.1993408203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,4,4,4,4,14,23600.0,14000.0,0.5932203389830508,39984.0,14.023135593220339,8.276960784313726,330946,0.6336840451312299,1.2673680902624598,0.006466163725828877,0.005657893260100267,0.01532136619473712,224,196,42468,82719,7.246
O7b,O1 plus row banking/unroll=7,128,128,128,14,112,112,112,7,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,5.066930827031337,10.133861654062674,0.025851687893017027,0.03958539708618232,16384.0,10699.755102040815,16384.0,25.2618408203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,2,2,2,2,14,18800.0,14000.0,0.7446808510638298,35184.0,22.015425531914893,11.763585720782174,413890,0.5066930827031337,1.0133861654062675,0.005170337578603405,0.0025851687893017027,0.005245785897196243,392,196,267912,193181,7.143
O8a,local double buffer A1 sequential ping-pong local load II=7,128,128,128,14,112,112,112,1,write_only,2097152,4194304,32768,32768,65536,131072,8.0,32.0,16.0,196,392,128.0,256.0,128.0,256.0,2.971606705113854,5.943213410227708,0.01516125869956048,0.023215677383701984,16384.0,10699.755102040815,16384.0,43.0743408203125,internal/scheduler-bound,4096.0,4096.0,8192.0,0,0,2,2,2,8,64,136,98,98,14,14,14,215600.0,14000.0,0.06493506493506493,231984.0,3.273330241187384,3.0421494585833506,705730,0.2971606705113854,0.5943213410227708,0.0030322517399120957,0.010612881089692336,0.006850571621494678,56,196,46991,86755,7.165
